cod_company,cod_weakness,cod_plan,objeto_social,Urgencia,Importancia,Plazo de ejecución,Complejidad,accepted
114636,3.3.1.,3.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Menos urgente,Menos importante,2 meses,Sencillo,1
114636,3.3.1.,3.1.1.a.,"EL EJERCICIO EN COMUN DE LA ACTIVIDAD PROFESIONAL PROPIA DE ECONOMISTAS, EN ESPECIAL LA ASESORIA CONTABLE Y FISCAL",Menos urgente,Menos importante,2 meses,Sencillo,1
114637,3.1.1.,3.1.1.e.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Urgente,Muy importante,3 meses,Sencillo,1
114637,3.1.1.,3.1.1.e.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Urgente,Muy importante,3 meses,Sencillo,1
114637,2.2.9.,2.2.7.c.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Muy urgente,Importante,2 meses,Sencillo,1
114637,2.2.9.,2.2.7.c.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Muy urgente,Importante,2 meses,Sencillo,1
114637,2.2.9.,2.2.7.c.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Muy urgente,Importante,2 meses,Sencillo,1
114637,2.2.6.,2.2.4.a.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Muy urgente,Importante,6 meses,Sencillo,1
114637,2.2.6.,2.2.4.a.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Muy urgente,Importante,6 meses,Sencillo,1
114637,2.2.6.,2.2.4.a.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Muy urgente,Importante,6 meses,Sencillo,1
114637,2.2.6.,2.2.4.a.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Muy urgente,Importante,6 meses,Sencillo,1
114637,2.2.6.,2.2.4.a.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Muy urgente,Importante,6 meses,Sencillo,1
114637,2.2.6.,2.2.4.a.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Muy urgente,Importante,6 meses,Sencillo,1
114637,3.2.1.,3.1.1.e.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Urgente,Importante,3 meses,Sencillo,1
114637,3.2.1.,3.1.1.e.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Urgente,Importante,3 meses,Sencillo,1
114637,4.2.1.,2.2.1.c.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Menos urgente,Menos importante,6 meses,Complejo,1
114637,4.2.1.,2.2.1.c.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Menos urgente,Menos importante,6 meses,Complejo,1
114637,4.2.1.,2.2.1.c.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Menos urgente,Menos importante,6 meses,Complejo,1
114637,4.2.1.,2.2.1.c.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Menos urgente,Menos importante,6 meses,Complejo,1
114637,4.2.1.,2.2.1.c.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",Menos urgente,Menos importante,6 meses,Complejo,1
114637,2.2.2.,2.2.1.g.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",,,3 meses,Sencillo,1
114637,2.2.2.,2.2.1.g.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",,,3 meses,Sencillo,1
114637,2.2.2.,2.2.1.g.,"instalación y mantenimiento de electricidad en general 
instalación placas solares  _ energía fotovoltaica , sector industrial y residencial
instalación puntos de recarga vehículos eléctricos 
sistemas de protección contra incendios 
proceso conexión y gestión suministro eléctrico con compañías electricidad
soluciones ilumación LED
sistemas porteros electrónicos avanzados

",,,3 meses,Sencillo,1
114723,3.1.1.,3.1.1.d.,"Gestoría administrativa; asesoramiento de empresas en su ámbito contable, fiscal, mercantil, negocio, como también sus trámites con la Administración Pública; la prestación de servicios de consultoría estratégica, comercial, desarrollo de negocio, análisis y evolución de proyectos; tramitación de a",Urgente,Muy importante,3 meses,Sencillo,1
